concept,description_concept,type_concept,term,type_term,description_term,generateur,prefix,gender,conjugaison,ehasElisionlision,accordFemSing,accordFemPlu,accordMasSing,accordMasPlu
a_abandonné,,a,adjectif:abandonn ée ées é és,adjectif,,,abandonn,,,1,ée,ées,é,és
a_abattu,,a,adjectif:abatt ue ues u us,adjectif,,,abatt,,,1,ue,ues,u,us
a_abdiqué,,a,adjectif:abdiqu ée ées é és,adjectif,,,abdiqu,,,1,ée,ées,é,és
a_abîmé,,a,adjectif:abîm ée ées é és,adjectif,,,abîm,,,1,ée,ées,é,és
a_aboli,,a,adjectif:abol ie ies i is,adjectif,,,abol,,,1,ie,ies,i,is
a_abondant,,a,adjectif:abondan te tes t ts,adjectif,,,abondan,,,1,te,tes,t,ts
a_abonné,,a,adjectif:abonn ée ées é és,adjectif,,,abonn,,,1,ée,ées,é,és
a_abrupt,,a,adjectif:abrup te tes t ts,adjectif,,,abrup,,,1,te,tes,t,ts
a_abruti,,a,adjectif:abrut ie ies i is,adjectif,,,abrut,,,1,ie,ies,i,is
a_absent,,a,adjectif:absen te tes t ts,adjectif,,,absen,,,1,te,tes,t,ts
a_absolu,,a,adjectif:absol ue ues u us,adjectif,,,absol,,,1,ue,ues,u,us
a_absolu 1,,a,adjectif:tyraniqu e es e es,adjectif,,,tyraniqu,,,0,e,es,e,es
,,,generateur:[a_absolu],generateur,,,,,,,,,,
,,,generateur:[a_insoutenable],generateur,,,,,,,,,,
,,,generateur:[a_intensif],generateur,,,,,,,,,,
,,,generateur:[a_radical],generateur,,,,,,,,,,
,,,generateur:[a_souverain],generateur,,,,,,,,,,
a_absolu 2,,a,generateur:[0|m_joie 2]< [=1|a_absurde 1]>,generateur,,,,,,,,,,
,,,generateur:[a_extrême],generateur,,,,,,,,,,
,,,generateur:[a_idéal],generateur,,,,,,,,,,
,,,generateur:[a_infini],generateur,,,,,,,,,,
,,,generateur:[a_mythique],generateur,,,,,,,,,,
,,,generateur:[a_parfait],generateur,,,,,,,,,,
a_absolu 3,,a,generateur:[a_entier],generateur,,,,,,,,,,
,,,generateur:[a_massif],generateur,,,,,,,,,,
