"id_concept","id_dico","lib","type","id_sub","sEli","sPre","genre","s","p","id_adj","aEli","aPre","m_s","f_s","m_p","f_p","id_verbe","id_conj","vEli","vPre","id_gen","valeur","id_syn","num","ordre","syLib"
"54264","34","abandonné","a",NULL,NULL,NULL,NULL,NULL,NULL,"17884","1","abandonn","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54265","34","abattu","a",NULL,NULL,NULL,NULL,NULL,NULL,"17885","1","abatt","u","ue","us","ues",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54266","34","abdiqué","a",NULL,NULL,NULL,NULL,NULL,NULL,"17886","1","abdiqu","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54267","34","abîmé","a",NULL,NULL,NULL,NULL,NULL,NULL,"17887","1","abîm","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54268","34","aboli","a",NULL,NULL,NULL,NULL,NULL,NULL,"17888","1","abol","i","ie","is","ies",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54269","34","abondant","a",NULL,NULL,NULL,NULL,NULL,NULL,"17889","1","abondan","t","te","ts","tes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54270","34","abonné","a",NULL,NULL,NULL,NULL,NULL,NULL,"17890","1","abonn","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54271","34","abrupt","a",NULL,NULL,NULL,NULL,NULL,NULL,"17891","1","abrup","t","te","ts","tes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54272","34","abruti","a",NULL,NULL,NULL,NULL,NULL,NULL,"17892","1","abrut","i","ie","is","ies",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54273","34","absent","a",NULL,NULL,NULL,NULL,NULL,NULL,"17893","1","absen","t","te","ts","tes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54274","34","absolu","a",NULL,NULL,NULL,NULL,NULL,NULL,"17894","1","absol","u","ue","us","ues",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54275","34","absorbé","a",NULL,NULL,NULL,NULL,NULL,NULL,"17895","1","absorb","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54276","34","abstrait","a",NULL,NULL,NULL,NULL,NULL,NULL,"17896","1","abstrai","t","te","ts","tes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54277","34","absurde","a",NULL,NULL,NULL,NULL,NULL,NULL,"17897","1","absurd","e","e","es","es",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54278","34","abusif","a",NULL,NULL,NULL,NULL,NULL,NULL,"17898","1","abusi","f","ve","fs","ves",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54279","34","accablant","a",NULL,NULL,NULL,NULL,NULL,NULL,"17899","1","accablan","t","te","ts","tes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54280","34","accablé","a",NULL,NULL,NULL,NULL,NULL,NULL,"17900","1","accabl","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54281","34","acceptable","a",NULL,NULL,NULL,NULL,NULL,NULL,"17901","1","acceptabl","e","e","es","es",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54282","34","accepté","a",NULL,NULL,NULL,NULL,NULL,NULL,"17902","1","accept","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54283","34","accessible","a",NULL,NULL,NULL,NULL,NULL,NULL,"17903","1","accessibl","e","e","es","es",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54284","34","accessoire","a",NULL,NULL,NULL,NULL,NULL,NULL,"17904","1","accessoir","e","e","es","es",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54285","34","accidentel","a",NULL,NULL,NULL,NULL,NULL,NULL,"17905","1","accidente","l","lle","ls","lles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54286","34","accompagné","a",NULL,NULL,NULL,NULL,NULL,NULL,"17906","1","accompagn","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54287","34","accompli","a",NULL,NULL,NULL,NULL,NULL,NULL,"17907","1","accompl","i","ie","is","ies",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54288","34","accordé","a",NULL,NULL,NULL,NULL,NULL,NULL,"17908","1","accord","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54289","34","accroché","a",NULL,NULL,NULL,NULL,NULL,NULL,"17909","1","accroch","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54290","34","accroupi","a",NULL,NULL,NULL,NULL,NULL,NULL,"17910","1","accroup","i","ie","is","ies",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54291","34","accumulé","a",NULL,NULL,NULL,NULL,NULL,NULL,"17911","1","accumul","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54292","34","accusé","a",NULL,NULL,NULL,NULL,NULL,NULL,"17912","1","accus","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54293","34","acéphale","a",NULL,NULL,NULL,NULL,NULL,NULL,"17913","1","acéphal","e","e","es","es",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54294","34","acheté","a",NULL,NULL,NULL,NULL,NULL,NULL,"17914","1","achet","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54295","34","achevé","a",NULL,NULL,NULL,NULL,NULL,NULL,"17915","1","achev","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54296","34","acide","a",NULL,NULL,NULL,NULL,NULL,NULL,"17916","1","acid","e","e","es","es",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54297","34","acteur","a",NULL,NULL,NULL,NULL,NULL,NULL,"17917","1","act","eur","rice","eurs","rices",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54298","34","actif","a",NULL,NULL,NULL,NULL,NULL,NULL,"17918","1","acti","f","ve","fs","ves",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54299","34","actuel","a",NULL,NULL,NULL,NULL,NULL,NULL,"17919","1","actue","l","lle","ls","lles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54300","34","adapté","a",NULL,NULL,NULL,NULL,NULL,NULL,"17920","1","adapt","é","ée","és","ées",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54301","34","admirable","a",NULL,NULL,NULL,NULL,NULL,NULL,"17921","1","admirabl","e","e","es","es",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
