id_concept,id_dico,lib_cpt,type,id_concept,id_syn,id_syn,id_dico,num,ordre,lib_term
56198,34,absolument,s,56198,2007,2007,34,92,-1,absolument
61179,34,assez 1,s,61179,2039,2039,34,93,-1,suffisamment
135540,34,aussi 1,s,135540,4205,4205,34,94,-1,également
61180,34,aussitôt 1,s,61180,2040,2040,34,95,-1,immédiatement
61181,34,autrefois 1,s,61181,2041,2041,34,96,-1,jadis
61182,34,avidement 1,s,61182,2042,2042,34,97,-1,avec avidité
61182,34,avidement 1,s,61182,2043,2043,34,98,-1,avec passion
61182,34,avidement 1,s,61182,2044,2044,34,99,-1,avidement
61182,34,avidement 1,s,61182,2045,2045,34,100,-1,intensément
56199,34,beaucoup,s,56199,2008,2008,34,101,-1,beaucoup
61183,34,beaucoup 1,s,61183,2046,2046,34,102,-1,au plus haut point
61183,34,beaucoup 1,s,61183,2047,2047,34,103,-1,considérablement
61183,34,beaucoup 1,s,61183,2048,2048,34,104,-1,extrêmement
61183,34,beaucoup 1,s,61183,2049,2049,34,105,-1,fort
61183,34,beaucoup 1,s,61183,2050,2050,34,106,-1,fortement
61183,34,beaucoup 1,s,61183,2051,2051,34,107,-1,grandement
61183,34,beaucoup 1,s,61183,2052,2052,34,108,-1,infiniment
61183,34,beaucoup 1,s,61183,2053,2053,34,109,-1,prodigieusement
61183,34,beaucoup 1,s,61183,2054,2054,34,110,-1,profondément
61184,34,beaucoup 2,s,61184,2055,2055,34,111,-1,des conglomérats
61184,34,beaucoup 2,s,61184,2056,2056,34,112,-1,des foultitudes
61184,34,beaucoup 2,s,61184,2057,2057,34,113,-1,quantité
61187,34,bien 1,s,61187,2058,2058,34,114,-1,bien
61187,34,bien 1,s,61187,2059,2059,34,115,-1,convenablement
61187,34,bien 1,s,61187,2060,2060,34,116,-1,correctement
61187,34,bien 1,s,61187,2061,2061,34,117,-1,facilement
61187,34,bien 1,s,61187,2062,2062,34,118,-1,normalement
61188,34,bizarrement 1,s,61188,2063,2063,34,119,-1,bizarrement
61188,34,bizarrement 1,s,61188,2064,2064,34,120,-1,curieusement
61188,34,bizarrement 1,s,61188,2065,2065,34,121,-1,étonnemment
61188,34,bizarrement 1,s,61188,2066,2066,34,122,-1,étrangement
61188,34,bizarrement 1,s,61188,2067,2067,34,123,-1,paradoxalement
137683,34,bonjour,s,137683,4338,4338,34,124,-1,bonjour
56200,34,cent,s,56200,2009,2009,34,125,-1,cent
61189,34,cependant 1,s,61189,2068,2068,34,126,-1,cependant
61190,34,certainement 1,s,61190,2069,2069,34,127,-1,apparemment
61190,34,certainement 1,s,61190,2070,2070,34,128,-1,certainement
61190,34,certainement 1,s,61190,2071,2071,34,129,-1,évidemment
61190,34,certainement 1,s,61190,2072,2072,34,130,-1,sans-doute
61190,34,certainement 1,s,61190,2073,2073,34,131,-1,sûrement
61190,34,certainement 1,s,61190,2074,2074,34,132,-1,vraisemblablement
56202,34,cinquante,s,56202,2010,2010,34,133,-1,cinquante
61191,34,complètement 1,s,61191,2075,2075,34,134,-1,complètement
61191,34,complètement 1,s,61191,2076,2076,34,135,-1,totalement
61191,34,complètement 1,s,61191,2077,2077,34,136,-1,tout à fait
56203,34,debout,s,56203,2011,2011,34,137,-1,debout
56204,34,deux,s,56204,2012,2012,34,138,-1,deux
56205,34,dix,s,56205,2013,2013,34,139,-1,dix
61193,34,donc 1,s,61193,2078,2078,34,140,-1,ergo
61193,34,donc 1,s,61193,2079,2079,34,141,-1,par conséquent
61194,34,en-vain 1,s,61194,2080,2080,34,142,-1,en vain
61194,34,en-vain 1,s,61194,2081,2081,34,143,-1,inutilement
61194,34,en-vain 1,s,61194,2082,2082,34,144,-1,vainement
61195,34,ensemble 1,s,61195,2083,2083,34,145,-1,ensemble
61195,34,ensemble 1,s,61195,2084,2084,34,146,-1,tous ensemble
61198,34,exactement 1,s,61198,2085,2085,34,147,-1,exactement
61198,34,exactement 1,s,61198,2086,2086,34,148,-1,précisément
61198,34,exactement 1,s,61198,2038,2038,34,149,-1,vraiment
61199,34,généralement 1,s,61199,2087,2087,34,150,-1,d'habitude
61199,34,généralement 1,s,61199,2088,2088,34,151,-1,fréquemment
61199,34,généralement 1,s,61199,2089,2089,34,152,-1,généralement
61199,34,généralement 1,s,61199,2090,2090,34,153,-1,habituellement
61199,34,généralement 1,s,61199,2091,2091,34,154,-1,le plus souvent
61200,34,hasard 1,s,61200,2092,2092,34,155,-1,fortuitement
56207,34,hier,s,56207,2014,2014,34,156,-1,hier
56208,34,huit,s,56208,2015,2015,34,157,-1,huit
56209,34,lentement,s,56209,2016,2016,34,158,-1,lentement
61201,34,lentement 1,s,61201,2093,2093,34,159,-1,attentivement
61201,34,lentement 1,s,61201,2016,2016,34,160,-1,lentement
61201,34,lentement 1,s,61201,2094,2094,34,161,-1,longuement
61201,34,lentement 1,s,61201,2095,2095,34,162,-1,patiemment
56210,34,longtemps,s,56210,2017,2017,34,163,-1,longtemps
61202,34,longuement 1,s,61202,2093,2093,34,164,-1,attentivement
61202,34,longuement 1,s,61202,2016,2016,34,165,-1,lentement
61202,34,longuement 1,s,61202,2017,2017,34,166,-1,longtemps
61202,34,longuement 1,s,61202,2094,2094,34,167,-1,longuement
61202,34,longuement 1,s,61202,2095,2095,34,168,-1,patiemment
61202,34,longuement 1,s,61202,2030,2030,34,169,-1,souvent
56211,34,maintenant,s,56211,2018,2018,34,170,-1,maintenant
123128,34,marre,s,123128,4018,4018,34,171,-1,marre
56213,34,nettement,s,56213,2019,2019,34,172,-1,nettement
61205,34,nombre 1,s,61205,2013,2013,34,173,-1,dix
61205,34,nombre 1,s,61205,2096,2096,34,174,-1,douze
61205,34,nombre 1,s,61205,2020,2020,34,175,-1,onze
61205,34,nombre 1,s,61205,2097,2097,34,176,-1,quatorze
61205,34,nombre 1,s,61205,2098,2098,34,177,-1,quinze
61205,34,nombre 1,s,61205,2026,2026,34,178,-1,seize
61205,34,nombre 1,s,61205,2099,2099,34,179,-1,sept
61205,34,nombre 1,s,61205,2100,2100,34,180,-1,six
61205,34,nombre 1,s,61205,2101,2101,34,181,-1,treize
61205,34,nombre 1,s,61205,2035,2035,34,182,-1,trois
61205,34,nombre 1,s,61205,2036,2036,34,183,-1,vingt
56215,34,onze,s,56215,2020,2020,34,184,-1,onze
56216,34,parfois,s,56216,2021,2021,34,185,-1,parfois
61207,34,parfois 2,s,61207,2102,2102,34,186,-1,de temps en temps
61207,34,parfois 2,s,61207,2103,2103,34,187,-1,par intermittences
61207,34,parfois 2,s,61207,2104,2104,34,188,-1,par intervalles
61207,34,parfois 2,s,61207,2105,2105,34,189,-1,par moments
61207,34,parfois 2,s,61207,2021,2021,34,190,-1,parfois
56217,34,partout,s,56217,2022,2022,34,191,-1,partout
56218,34,plusieurs,s,56218,2023,2023,34,192,-1,plusieurs
123136,34,pourtant,s,123136,4024,4024,34,193,-1,pourtant
128155,34,pourtant 1,s,128155,2068,2068,34,194,-1,cependant
128155,34,pourtant 1,s,128155,4103,4103,34,195,-1,malgré tout
128155,34,pourtant 1,s,128155,4104,4104,34,196,-1,tout de même
61208,34,presque 1,s,61208,2106,2106,34,197,-1,approximativement
61208,34,presque 1,s,61208,2107,2107,34,198,-1,quasiment
61208,34,presque 1,s,61208,2108,2108,34,199,-1,vaguement
61209,34,puis 1,s,61209,2109,2109,34,200,-1,ensuite
61209,34,puis 1,s,61209,2110,2110,34,201,-1,puis
56222,34,sans-fin,s,56222,2025,2025,34,202,-1,sans fin
61210,34,sans-fin 1,s,61210,2111,2111,34,203,-1,continuellement
61210,34,sans-fin 1,s,61210,2112,2112,34,204,-1,continuement
61210,34,sans-fin 1,s,61210,2113,2113,34,205,-1,indéfiniment
61210,34,sans-fin 1,s,61210,2114,2114,34,206,-1,inépuisablement
61210,34,sans-fin 1,s,61210,2115,2115,34,207,-1,intarissablement
61210,34,sans-fin 1,s,61210,2116,2116,34,208,-1,perpétuellement
61211,34,sauf 1,s,61211,2117,2117,34,209,-1,excepté
61211,34,sauf 1,s,61211,2118,2118,34,210,-1,mis à part
61211,34,sauf 1,s,61211,2119,2119,34,211,-1,sauf
56223,34,seize,s,56223,2026,2026,34,212,-1,seize
56224,34,seulement,s,56224,2027,2027,34,213,-1,seulement
56225,34,simple,s,56225,2028,2028,34,214,-1,simplement
61212,34,soin 1,s,61212,2120,2120,34,215,-1,avec attention
61212,34,soin 1,s,61212,2121,2121,34,216,-1,avec minutie
61212,34,soin 1,s,61212,2122,2122,34,217,-1,avec soin
61212,34,soin 1,s,61212,2123,2123,34,218,-1,méthodiquement
