concept,uri,lib,format
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q762,Leonardo da Vinci,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5592,Michelangelo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5582,Vincent van Gogh,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5593,Pablo Picasso,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5577,Salvador Dalí,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5598,Rembrandt,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5597,Raphael,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q4724,Le Corbusier,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7241,Rabindranath Tagore,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5580,Albrecht Dürer,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5432,Francisco de Goya,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5588,Frida Kahlo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5586,Katsushika Hokusai,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q297,Diego Velázquez,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5589,Henri Matisse,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5599,Peter Paul Rubens,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5603,Andy Warhol,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q296,Claude Monet,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q23380,Jean Auguste Dominique Ingres,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q37693,Paul Gauguin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q35548,Paul Cézanne,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q41264,Johannes Vermeer,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q301,El Greco,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q41406,Edvard Munch,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5669,Sandro Botticelli,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q41513,William Blake,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q40599,Édouard Manet,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q42207,Caravaggio,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q37571,Jackson Pollock,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q134958,Taras Shevchenko,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q39931,Pierre-Auguste Renoir,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q33477,Eugène Delacroix,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q75698,Samuel Finley Breese Morse,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q46373,Edgar Degas,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q34661,Gustav Klimt,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q47551,Titian,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q47842,Empress Dowager Cixi,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7814,Giotto,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q152384,Joan Miró,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q83155,Jacques-Louis David,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q43270,Pieter Brueghel the Elder,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q61064,Wassily Kandinsky,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7724,August Strindberg,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q82445,Henri de Toulouse-Lautrec,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q93284,Marc Chagall,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q130531,Hieronymus Bosch,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q41554,Nicolas Poussin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q209615,Francisco de Zurbarán,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q102272,Jan van Eyck,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7836,René Magritte,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q120993,Amedeo Modigliani,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q128027,Giorgio Vasari,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q131405,Louis Daguerre,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5912,Marcel Duchamp,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q150679,Anthony van Dyck,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q104884,Caspar David Friedrich,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q172911,Ilya Repin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q192062,Bartolomé Esteban Murillo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q9319,Jacopo Tintoretto,wikidata
