painter,painterLabel,exhibition_count,exhibitions
http://www.wikidata.org/entity/Q158062,Max Liebermann,1,Liebermann Villa
http://www.wikidata.org/entity/Q454670,Eva Bonnier,2,"Prince Eugens Waldemarsudde, Thiel Gallery"
http://www.wikidata.org/entity/Q436844,Armand Guillaumin,4,"The Impressionists in private, 3rd impressionist exhibition, 1st impressionist exhibition, 5th impressionist exhibition"
http://www.wikidata.org/entity/Q658862,Jean-François Raffaëlli,3,"Salon of 1877, Salon of 1885, Salon of 1886"
http://www.wikidata.org/entity/Q1355820,Federico Zandomeneghi,1,“Impressionisti Segreti” in Palazzo Bonaparte
http://www.wikidata.org/entity/Q975168,Janis Rozentāls,1,Europeana 280
http://www.wikidata.org/entity/Q37693,Paul Gauguin,14,"6th impressionist exhibition, Europeana 280, In Colour: Polychrome Sculpture in France 1850-1910, Le Cubisme, Art 3. Works from the collection 1814-1950, Armory Show, Paul Gauguin's exhibit at Les XX, 1889, Mästerverk i Nationalmusei samlingar, Le ""Talisman"" de Sérusier, une prophétie de la couleur, Trésors impressionnistes, Private Collections: A Journey of the Impressionists to the Wild Animals, From Cranach to Monet. Highlights of the Perez Simon Collection, Le modèle noir de Géricault à Matisse, “Impressionisti Segreti” in Palazzo Bonaparte"
http://www.wikidata.org/entity/Q964608,Lucien Pissarro,1,Monet Collector
http://www.wikidata.org/entity/Q7127637,Ernest Rouart,1,"Exposition Les Rouart, de l’impressionnisme au réalisme magique"
http://www.wikidata.org/entity/Q365068,Peder Severin Krøyer,11,"The Mirror of Nature. Nordic Landscape Painting 1840-1910, Europeana 280, Berlin, Guildhall, Exposition Universelle of 1900, Hirschsprung Collection, Charlottenborg Spring Exhibition, Esposizione internazionale d'arte di Venezia, Salon of 1902, The Dance of Life – The collection from antiquity to 1950, Sense and Sensibility. Nordic painting and sculpture from the collections"
http://www.wikidata.org/entity/Q175130,Alfred Sisley,13,"2nd impressionist exhibition, Salon of 1870, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, Exposition Universelle of 1900, 3rd impressionist exhibition, 1st impressionist exhibition, Salon of 1866, Trésors impressionnistes, Mästerverk i Nationalmusei samlingar, Von Dürer bis van Gogh - Sammlung Bührle trifft Wallraf, The Impressionists in private, “Impressionisti Segreti” in Palazzo Bonaparte, Hôtel de Caumont"
http://www.wikidata.org/entity/Q157610,Lovis Corinth,1,Passions and Fervour. The Art of Powerful Emotions
http://www.wikidata.org/entity/Q451771,Amadeo de Souza Cardoso,1,Europeana 280
http://www.wikidata.org/entity/Q1606016,Henri Rouart,1,1st impressionist exhibition
http://www.wikidata.org/entity/Q2076864,Henry Moret,2,"Exposition L'impressionnisme d'après Pont-Aven, Exposition La vague japoniste, les peintres en Bretagne"
